sample,DGCCA_28,DGCCA_69
TCGA-AR-A24Z-01,0.02178967,-0.0069658197
TCGA-AR-A250-01,0.05661623,-0.034956925
TCGA-AR-A251-01,0.042667788,0.05252721
TCGA-AR-A252-01,0.043418568,-0.0020720316
TCGA-AR-A254-01,-0.10760563,-0.030949729
TCGA-AR-A255-01,-0.03559428,0.09449789
TCGA-AR-A256-01,0.009656977,-0.012506326
TCGA-AR-A2LE-01,0.033206314,0.0052492525
TCGA-AR-A2LH-01,-0.034870237,0.008295521
TCGA-AR-A2LJ-01,-0.012733238,-0.011785031
TCGA-AR-A2LK-01,0.053255063,0.0076246895
TCGA-AR-A2LL-01,-0.019432213,0.0029445733
TCGA-AR-A2LM-01,0.069825366,-0.036987342
TCGA-AR-A2LN-01,0.02091215,-0.026659522
TCGA-AR-A2LO-01,-0.022649562,0.039643735
TCGA-AR-A2LQ-01,0.0051999344,7.972802e-05
TCGA-AR-A2LR-01,0.046801947,-0.007489968
TCGA-AR-A5QM-01,0.015764298,-0.00979734
TCGA-AR-A5QN-01,0.045837827,-0.013768127
TCGA-AR-A5QP-01,0.036984596,0.0005789604
TCGA-AR-A5QQ-01,0.045295052,0.022518687
TCGA-B6-A0I1-01,-0.02829878,0.040570468
TCGA-B6-A0I2-01,0.030560954,0.014963941
TCGA-B6-A0I5-01,-0.012207689,0.011891126
TCGA-B6-A0I6-01,-0.03197596,0.02135767
TCGA-B6-A0I8-01,0.007104071,-0.038413614
TCGA-B6-A0I9-01,0.0017018849,0.0971876
TCGA-B6-A0IA-01,-0.008448902,-0.012142503
TCGA-B6-A0IB-01,-0.009048308,-0.009117574
TCGA-B6-A0IC-01,-0.020509632,0.031086247
TCGA-B6-A0IE-01,0.017692095,-0.018572235
TCGA-B6-A0IG-01,0.029029088,-0.057968948
TCGA-B6-A0IH-01,-0.062599406,-0.010244422
TCGA-B6-A0IJ-01,-0.02273149,-0.019223142
TCGA-B6-A0IK-01,-0.079224296,0.007975621
TCGA-B6-A0IM-01,-0.012419101,-0.0078119263
TCGA-B6-A0IN-01,-0.0052750465,-0.07123302
TCGA-B6-A0IO-01,-0.008239642,-0.016056404
TCGA-B6-A0IP-01,-0.021749396,-0.0013164924
