sample,DGCCA_16,DGCCA_28,DGCCA_31,DGCCA_38,DGCCA_71,DGCCA_82,DGCCA_88
TCGA-A8-A06N-01,0.036342528,-0.0033879788,0.01126068,0.06124093,-0.071577184,0.025662065,-0.03178226
TCGA-A8-A06O-01,0.024318038,-0.024767322,-0.010457681,-0.0130246915,0.024306115,-0.010657097,0.05307855
TCGA-A8-A06P-01,-0.008642638,-0.023586132,-0.020892562,0.07362637,0.020103056,0.02562701,-0.014263156
TCGA-A8-A06Q-01,-0.0040675453,0.014645918,0.054272994,0.050998375,-0.081541635,0.003220952,0.04863137
TCGA-A8-A06R-01,0.06631615,-0.046490774,0.048884146,-0.022593718,0.041904993,0.015689049,0.01551591
TCGA-A8-A06T-01,0.0015103528,-0.02397227,0.016482506,-0.006481955,-0.06457901,0.008665903,-0.0714667
TCGA-A8-A06U-01,0.025978548,-0.015200097,-0.026825735,0.03984873,-0.0019417568,0.033440877,0.024741922
TCGA-A8-A06X-01,0.00037129968,-0.035187878,0.040624168,-0.025595922,0.018096633,0.0638753,-0.03415213
TCGA-A8-A06Y-01,-0.0068273563,-0.0024243416,-0.024497705,-0.06542383,-0.04392942,0.015656529,-0.011765057
TCGA-A8-A06Z-01,-0.016412336,-0.018247573,0.01681944,-7.8569865e-05,0.027037207,-0.013383357,-0.00878222
TCGA-A8-A075-01,0.036104087,0.03425155,-0.0063627316,-0.05324373,-0.023133554,0.031826288,-0.046152983
TCGA-A8-A076-01,-0.025549881,-0.0031327321,0.018835243,0.013841945,-0.08574812,0.008275628,0.00022320915
TCGA-A8-A079-01,0.008629326,0.016706854,-0.023132136,-0.061460793,-0.037919547,0.038931247,-0.00814488
TCGA-A8-A07B-01,-0.04627437,0.04009521,-0.0040527545,-0.022386597,0.013450671,-0.019228775,-0.028762344
TCGA-A8-A07C-01,-0.023537137,0.038470924,0.028342485,0.04924368,0.05368994,-0.009969616,-0.04595543
TCGA-A8-A07E-01,-0.0102512445,-0.04220152,0.09531292,-0.021060474,-0.031923734,-0.040093437,-0.05313864
